Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Swim Cadence,Max Swim Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Total Routes,Climb Time,Max Ascent,Sends,Total Ascent,Falls,Total Rest,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Pool Swim,2026-07-09 07:40:54,false,"Pool Swim","500","206","00:30:24","133","176","2.6","--","--","1:55","1:15","--","--","--","--","--","--","--","--","0.0","--","--","284","43","30","--","--","--","--","--","--","--","--","--","--","--","No","00:00:08.0","23","--","--","--","--","--","--","--","--","00:09:34.0","00:30:50","--","--"
Pool Swim,2026-07-06 08:01:29,false,"Pool Swim","925","267","00:32:56","138","164","2.9","--","--","1:49","0:40","--","--","--","--","--","--","--","--","0.0","--","--","486","40","29","--","--","--","--","--","--","--","--","--","--","--","No","00:00:08.6","35","--","--","--","--","--","--","--","--","00:16:48","00:33:23","--","--"
Pool Swim,2026-07-02 07:54:13,false,"Pool Swim","800","303","00:34:46","147","184","3.1","--","--","1:56","1:20","--","--","--","--","--","--","--","--","0.0","--","--","473","44","31","--","--","--","--","--","--","--","--","--","--","--","No","00:00:11.6","23","--","--","--","--","--","--","--","--","00:15:25","00:35:15","--","--"
Pool Swim,2026-06-29 07:44:57,false,"Pool Swim","675","213","00:27:01","139","191","2.6","--","--","1:59","0:56","--","--","--","--","--","--","--","--","0.0","--","--","379","44","28","--","--","--","--","--","--","--","--","--","--","--","No","00:00:09.3","28","--","--","--","--","--","--","--","--","00:13:20","00:28:16","--","--"
Pool Swim,2026-06-25 07:50:48,false,"Pool Swim","1,000","341","00:39:26","143","177","3.1","--","--","1:53","1:20","--","--","--","--","--","--","--","--","0.0","--","--","546","42","29","--","--","--","--","--","--","--","--","--","--","--","No","00:00:05.7","41","--","--","--","--","--","--","--","--","00:18:51","00:39:47","--","--"
Running,2026-06-24 09:30:56,false,"Amherst Running","2.73","175","00:16:35","169","184","3.2","152","163","6:05","4:45","20","18","1.07","9.5","10.1","288","6:02","260","0.0","257","383","--","--","--","2,542","--","--","--","--","--","--","--","--","--","'-6","No","00:06:33.1","2","--","--","--","--","--","--","--","--","00:16:27","00:17:56","55","68"
Pool Swim,2026-06-23 07:57:19,false,"Pool Swim","650","279","00:31:27","146","186","3.1","--","--","1:40","1:11","--","--","--","--","--","--","--","--","0.0","--","--","332","38","31","--","--","--","--","--","--","--","--","--","--","--","No","00:00:10.1","25","--","--","--","--","--","--","--","--","00:10:51","00:32:02","--","--"
Tennis,2026-06-19 17:33:21,false,"Amherst Tennis","3.91","677","01:28:32","150","171","3.6","28","250","2.6","15.9","--","--","1.60","--","--","--","--","--","0.0","--","--","--","--","--","5,284","--","--","--","--","--","--","--","--","--","'-11","No","01:28:32","1","--","--","--","--","--","--","--","--","00:55:47","01:28:32","--","--"
Pool Swim,2026-06-17 07:46:26,false,"Pool Swim","725","280","00:42:21","128","166","2.4","--","--","1:49","1:18","--","--","--","--","--","--","--","--","0.0","--","--","366","40","28","--","--","--","--","--","--","--","--","--","--","--","No","00:00:11.7","31","--","--","--","--","--","--","--","--","00:13:12","00:43:01","--","--"
Pool Swim,2026-06-15 07:50:10,false,"Pool Swim","200","67","00:09:36.1","125","154","1.3","--","--","1:41","1:14","--","--","--","--","--","--","--","--","0.0","--","--","102","38","30","--","--","--","--","--","--","--","--","--","--","--","No","00:00:38.3","9","--","--","--","--","--","--","--","--","00:03:21.3","00:09:52.9","--","--"
